,title,alias
10897,Santorini,santorini
15335,Каменный век. Роскошь каменного века,Stone-Age-Style-Is-the-Goal
768,A Game of Thrones: The Card Game Second Edition,a-game-of-thrones-the-card-game-second-edition
14055,Viscounts of the West Kingdom: Keeper of Keys,keeper-of-keys
4756,Знаменосец,znamenosets
13679,K2,k2
6618,Покорители космоса,space-explorers
1951,Frostpunk: The Board Game,frostpunk-the-board-game
4600,Virgin Queen,VirginQueen
15304,Kingdom Builder,kingdom-builder
12341,Герои Терринота,heroes-of-terrinoth
7273,Поселенцы: Атланты,imperial-settlers-atlanteans
14177,Индустрия,furnace
18518,О хвостах и перьях,tail-feathers
8808,Call of Cthulhu: The Card Game,Call-of-Cthulhu-LCG
8828,Борьба за галактику: Перед бурей,race-for-the-galaxy-the-gathering-storm
4776,Каркассон. Королевский Подарок,karkasson-korolevskii-podarok
7815,Mascarade,Mascarade
12487,Королевство кроликов,korolevstvo-krolikov
10011,Кто первый?,kto-pervuy
12653,Ужас Аркхэма. Карточная игра: Наследие Данвича,uzhas-arkkhema-kartochnaya-igra-naslediye-danvicha
9630,Охота за кольцом,hunt-for-the-ring
5219,Doom: Настольная Игра,doom-boardgame
13434,Метро 2033 2-е издание,metro-2033-2e
4712,Space Empires: 4X,Space-Empires-4X
12313,Fallout: Новая Калифорния,fallout-new-california
4735,Цивилизация. Удача и слава,Sid-Meiers-Civilization-Fame-and-Fortune
12826,Взлет разрешен!,ClearForTakeoff
12226,Dungeon Universalis,dungeon-universalis
14441,Паладины Западного Королевства,paladins-of-the-west-kingdom
13929,Великий Западный Путь. Аргентина,great-western-trail-argentina
13103,Arcadia Quest,Arcadia-Quest
9799,Secret Hitler,secret-hitler
687,Путь героя,roll-player
12952,Нечто из глубокой бездны,Stay-Away
13346,Комната 25,Room-25
14993,Бизнес-круг,business-circle
11017,Андор: Поход на север,die-legenden-von-andor-journey-to-the-north
5184,Battles of Westeros,battles-of-westeros
15573,Билет на поезд: Северные страны,ticket-to-ride-nordic-countries
3053,Rock'n'Roll,rnr
6784,Century. Пряности,Century
11922,The Hunters A.D.2114,the-hunters-ad2114
8064,GOSU 2: Tactics,gosu2
799,По верблюдам!,Camel-Up
13510,01: Большой пожар,flash-point
12727,Дальше и ближе,near-and-far
4768,Super Dungeon Explore,super-dungeon-explore
17389,Petit Sablon,Petit-Sablon
15671,Ticket to Ride,ticket-to-ride
15301,Проект Манхэттен,the-manhattan-project
4181,Warhammer: Diskwars,Warhammer-Diskwars
4612,Eclipse: Rise of the Ancients,Eclipse-Rise-of-the-Ancients
13374,Последний день Атлантиды,survive-30th-anniversary-edition
14426,Поселенцы. Северные Империи,imperial-settlers-empires-of-the-north
14476,Гонконг во тьме,blackout
14628,Раджи Ганга,rajas-ganges
17241,Звёздные империи: Фронтир,star-realms-frontiers
15020,Ecologic,ecologic
15626,Денежный поток,cashflow
10910,Взломщики,Burgle-Bros
14626,Альтиплано,altiplano
8719,Аббатство,Biblios
2757,Время Фудзи,fuji-koro
14618,Чужие рубежи,alien-frontiers-5th-edition
15643,At the Gates of Loyang,At-the-Gates-of-Loyang
14397,Глен-Мор II. Хроники,glen-more-ii-chronicles
7442,Pathfinder. Карточная игра: Череп и Кандалы. Стартовый набор,Pathfinder-Card-Game-Skull-And-Shackles
9578,Маленький цирк,meeple-circus
14502,A Feast for Odin: The Norwegians Expansion,Feast-Odin-First-Expansion
